trait_gene_evidence_id	trait_id	trait_name	trait_name_normalized	gene_id	gene_symbol	evidence_id	evidence_source	support_level	trait_mapping_confidence	gene_mapping_confidence	allowed_usage	notes
TGE_00000125	NA	TO:0000696 - starch content;TO:0000304 - seed thickness;TO:0000391 - seed size	starch content seed thickness seed size	Os01g0180900	PEG1, OsPEG1	KGE_00000125	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000126	NA	TO:0000259 - heat tolerance;TO:0000074 - blast disease;TO:0006001 - salt tolerance;TO:0000095 - osmotic response sensitivity;TO:0000303 - cold tolerance;TO:0000276 - drought tolerance	heat tolerance blast disease salt tolerance osmotic response sensitivity cold tolerance drought tolerance	Os01g0182200	SIP1;1, SIP1, OsSIP1, OsSIP1;1, SIP1-1	KGE_00000126	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000127	NA	TO:0000278 - root to shoot ratio;TO:0000227 - root length;TO:0000095 - osmotic response sensitivity;TO:0006002 - proline content;TO:0000075 - light sensitivity;TO:0000276 - drought tolerance;TO:0000432 - temperature response trait;TO:0002616 - flowering time;TO:0000137 - days to heading;TO:0001018 - transpiration rate;TO:0000328 - sucrose content;TO:0000523 - stomatal resistance	root to shoot ratio root length osmotic response sensitivity proline content light sensitivity drought tolerance temperature response trait flowering time days to heading transpiration rate sucrose content stomatal resistance	Os01g0182600	GI, OsGI, Gi, Os-GI	KGE_00000127	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000128	NA	TO:0000615 - abscisic acid sensitivity;TO:0000188 - drought sensitivity;TO:0000276 - drought tolerance;TO:0000074 - blast disease;TO:0000112 - disease resistance;TO:0000179 - biotic stress trait;TO:0000397 - grain size;TO:0000731 - lignin content;TO:0000172 - jasmonic acid sensitivity;TO:0000361 - stem anatomy and morphology trait;TO:0000175 - bacterial blight disease resistance;TO:0000401 - plant growth hormone sensitivity	abscisic acid sensitivity drought sensitivity drought tolerance blast disease disease resistance biotic stress trait grain size lignin content jasmonic acid sensitivity stem anatomy and morphology trait bacterial blight disease resistance plant growth hormone sensitivity	Os01g0182700	WRKY102, OsWRKY102	KGE_00000128	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000129	NA	TO:0006001 - salt tolerance	salt tolerance	Os01g0183400	NFYC13, OsNF-YC13, NF-YC13	KGE_00000129	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000130	NA	TO:0002661 - seed maturation;TO:0000430 - germination rate;TO:0006001 - salt tolerance;TO:0000250 - vigor related trait;TO:0000175 - bacterial blight disease resistance;TO:0000259 - heat tolerance;TO:0000435 - seed longevity	seed maturation germination rate salt tolerance vigor related trait bacterial blight disease resistance heat tolerance seed longevity	Os01g0184100	HSP18.0-CII, OsHsp18.0, Oshsp18.0-CII, OsHSP18.0-CII, OsHSP18.0, OsHSP18.2	KGE_00000130	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000131	NA	TO:0001016 - relative chlorophyll content;TO:0000316 - photosynthetic ability;TO:0000303 - cold tolerance;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance;TO:0000615 - abscisic acid sensitivity;TO:0002759 - grain number;TO:0000152 - panicle number	relative chlorophyll content photosynthetic ability cold tolerance drought tolerance salt tolerance abscisic acid sensitivity grain number panicle number	Os01g0185400	CBE1, OsWD40-6, OsCBE1	KGE_00000131	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000132	NA	TO:0001016 - relative chlorophyll content;TO:0000316 - photosynthetic ability;TO:0000303 - cold tolerance;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance;TO:0000615 - abscisic acid sensitivity;TO:0002759 - grain number;TO:0000152 - panicle number	relative chlorophyll content photosynthetic ability cold tolerance drought tolerance salt tolerance abscisic acid sensitivity grain number panicle number	Os01g0185400	CBE1, OsCBE1, OsWD40-6	KGE_00000132	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000133	data_lt_2007__lsen	LSEN	phosphorus content leaf senescence bacterial blight disease resistance abscisic acid sensitivity cold tolerance heat tolerance phosphorus uptake salt tolerance phosphorus sensitivity drought tolerance	Os01g0186000	WRKY10, OsWRKY10	KGE_00000133	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000134	NA	TO:0000919 - grain weight;TO:0000397 - grain size	grain weight grain size	Os01g0186700	STK38, OsSTK38, TINY1, OsTINY1	KGE_00000134	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000135	NA	unspecified_trait	unspecified trait	Os01g0187200	OsmiR156b, OsmiR156c	KGE_00000135	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000136	NA	TO:0000620 - embryo development trait;TO:0000266 - chalky endosperm;TO:0002660 - cytokinin content;TO:0000011 - nitrogen sensitivity;TO:0000167 - cytokinin sensitivity;TO:0000163 - auxin sensitivity;TO:0000401 - plant growth hormone sensitivity	embryo development trait chalky endosperm cytokinin content nitrogen sensitivity cytokinin sensitivity auxin sensitivity plant growth hormone sensitivity	Os01g0187600	CKX1, OsCKX1	KGE_00000136	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000137	NA	unspecified_trait	unspecified trait	Os01g0188400	NADP-ME, NADP-ME1, OschlME, chlME, ME6, XcrMal1	KGE_00000137	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000138	NA	unspecified_trait	unspecified trait	Os01g0190400	HXK8, OsHXK8	KGE_00000138	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000139	NA	TO:0000734 - grain length;TO:0002677 - brassinosteroid sensitivity;TO:0000590 - grain weight;TO:0006001 - salt tolerance	grain length brassinosteroid sensitivity grain weight salt tolerance	Os01g0190500	GW5L, OsGW5L	KGE_00000139	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000140	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	total soluble sugar content relative chlorophyll content protein content proline content flavonoid content relative water content relative plant height relative root dry weight relative shoot dry weight soluble protein content relative yield hydrogen peroxide content oxidative stress abscisic acid sensitivity salt tolerance heat tolerance blast disease drought tolerance abscisic acid content bacterial blight disease resistance gibberellic acid sensitivity auxin sensitivity osmotic response sensitivity cold tolerance	Os01g0191300	ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, OsNAC006, NAC006, ONAC066	KGE_00000140	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000141	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	total soluble sugar content relative chlorophyll content protein content proline content flavonoid content relative water content relative plant height relative root dry weight relative shoot dry weight soluble protein content relative yield hydrogen peroxide content oxidative stress abscisic acid sensitivity salt tolerance heat tolerance blast disease drought tolerance abscisic acid content bacterial blight disease resistance gibberellic acid sensitivity auxin sensitivity osmotic response sensitivity cold tolerance	Os01g0191300	ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, OsNAC006, NAC006, ONAC066	KGE_00000141	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000142	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	total soluble sugar content relative chlorophyll content protein content proline content flavonoid content relative water content relative plant height relative root dry weight relative shoot dry weight soluble protein content relative yield hydrogen peroxide content oxidative stress abscisic acid sensitivity salt tolerance heat tolerance blast disease drought tolerance abscisic acid content bacterial blight disease resistance gibberellic acid sensitivity auxin sensitivity osmotic response sensitivity cold tolerance	Os01g0191300	OsNAC006, NAC006, ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, ONAC066	KGE_00000142	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000143	NA	unspecified_trait	unspecified trait	Os01g0191900	2R_MYB4, Os2R_MYB4, R2R3-MYB, MYB2-4, OsMYB2-4	KGE_00000143	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000144	data_lt_2007__cult_code_repro;data_lt_2007__lsen;data_lt_2007__spkf	CULT_CODE_REPRO;LSEN;SPKF	seed set percent flowering time leaf lamina color chlorophyll content leaf senescence plant height panicle length filled grain number root length abscisic acid sensitivity	Os01g0192000	DOS, OsDOS, OsC3H2, C3H2, OsTZF2, OsCCCH-Zn-4	KGE_00000144	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000145	NA	TO:0000481 - alkali sensitivity	alkali sensitivity	Os01g0192900	ACS5, OS-ACS5, OsACS5, OsBphi008a	KGE_00000145	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000146	NA	unspecified_trait	unspecified trait	Os01g0193900	ALYL1, OsALYL1	KGE_00000146	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000147	NA	unspecified_trait	unspecified trait	Os01g0193900	ALYL1, OsALYL1	KGE_00000147	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000148	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	brown planthopper resistance plant height nematode damage resistance sheath blight disease resistance mimic response disease resistance tiller number viral disease resistance seed weight auxin sensitivity abscisic acid sensitivity blast disease seed number bacterial blight disease resistance jasmonic acid sensitivity plant growth hormone sensitivity root development trait	Os01g0194300	NH1, OsNH1, OsNPR1, NPR1, OsNPR1/NH1, OsPR2, PR2, DLN5, OsDLN5, OsBTBA1, BTBA1	KGE_00000148	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000149	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	stem elongation lignin content plant height	Os01g0195000	IDD2, OsIDD2, ZOS1-04, OsZOS1-04	KGE_00000149	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000150	NA	TO:0000326 - leaf color;TO:0000074 - blast disease	leaf color blast disease	Os01g0196300	DPF, OsbHLH025, bHLH025, bHLH25	KGE_00000150	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000151	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code	CULT_CODE_REPRO;FLA_REPRO;LLT_CODE	seed size sheath blight disease resistance brassinosteroid sensitivity plant height germination rate salt tolerance tiller number osmotic response sensitivity leaf angle cold tolerance tillering ability basal internode diameter black streak dwarf virus resistance uv b light sensitivity 1000 seed weight grain yield grain number grain size tiller angle panicle size panicle shape jasmonic acid sensitivity leaf length leaf lamina color panicle length	Os01g0197100	D2, D2a, CYP90D2, CYP90D2/D2, d2, dwf2, D2/CYP90D2, OsD2, SMG11, OsSMG11, D2/SMG11, OsD2a, OsD2b	KGE_00000151	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000152	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code	CULT_CODE_REPRO;FLA_REPRO;LLT_CODE	seed size sheath blight disease resistance brassinosteroid sensitivity plant height germination rate salt tolerance tiller number osmotic response sensitivity leaf angle cold tolerance tillering ability basal internode diameter black streak dwarf virus resistance uv b light sensitivity 1000 seed weight grain yield grain number grain size tiller angle panicle size panicle shape jasmonic acid sensitivity leaf length leaf lamina color panicle length	Os01g0197100	D2, D2b, CYP90D2, CYP90D2/D2, d2, dwf2, D2/CYP90D2, OsD2, SMG11, OsSMG11, D2/SMG11, OsD2a, OsD2b	KGE_00000152	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000153	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	cytokinin content panicle length grain yield chlorophyll content 1000 seed weight primary branch number photosynthetic ability secondary branch number vegetative vigor relative water content harvest index tiller number cytokinin sensitivity plant growth hormone sensitivity inflorescence development trait panicle number carotenoid content grain number per plant grain number primary branching of inflorescence secondary branching of inflorescence grain weight salt tolerance spikelet number cell membrane stability inflorescence branching plant height	Os01g0197700	GN1A, Gn1a, OsCKX2, CKX2, ckx2, Gn1a/OsCKX2, Os CKX2, CKX2/Gn1a	KGE_00000153	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000154	NA	TO:0000615 - abscisic acid sensitivity	abscisic acid sensitivity	Os01g0197900	RDR3, OsRDR3, OsRDR3a	KGE_00000154	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000155	NA	unspecified_trait	unspecified trait	Os01g0198000	RDR4, OsRDR4, OsRDR3b	KGE_00000155	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000156	NA	TO:0000397 - grain size	grain size	Os01g0200300	HOX29, OsHB5, HB5, Oshox29, OsHox29, OSHB5	KGE_00000156	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000157	NA	TO:0000432 - temperature response trait;TO:0000238 - growth media composition sensitivity	temperature response trait growth media composition sensitivity	Os01g0200700	MTI3A, OsMT-3a, OsMT3, OsMT3a, MT3a, MT3, OsMT-I-3a, MT-I-3a, MTe, met2, OsMTI-3a, MTI-3a	KGE_00000157	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000158	data_lt_2007__spkf	SPKF	male sterility hydrogen peroxide content seed set percent seed fertility	Os01g0201400	RALF3, OsRALF17, RALF17, OsRALF-3, RALF-3, OsRALF3	KGE_00000158	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000159	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	gibberellic acid sensitivity growth and development trait plant height	Os01g0201600	GAE1, OsGAE1	KGE_00000159	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000160	NA	TO:0006009 - lodicule anatomy and morphology trait;TO:0000215 - stamen anatomy and morphology trait;TO:0000621 - inflorescence development trait;TO:0006023 - lodicule development trait;TO:0000622 - flower development trait	lodicule anatomy and morphology trait stamen anatomy and morphology trait inflorescence development trait lodicule development trait flower development trait	Os01g0201700	RAG, MADS3, OsMADS3, OsMADS3(t), RMADS222, RAG1, rf3	KGE_00000160	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000161	NA	TO:0000465 - mineral and ion content related trait;TO:0000354 - aluminum sensitivity	mineral and ion content related trait aluminum sensitivity	Os01g0202800	NIP1;2, OsNIP1;2, NIP1-2, OsNIP1.2, NIP1.2	KGE_00000161	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000162	NA	TO:0000259 - heat tolerance;TO:0000303 - cold tolerance;TO:0006001 - salt tolerance;TO:0000095 - osmotic response sensitivity;TO:0000276 - drought tolerance	heat tolerance cold tolerance salt tolerance osmotic response sensitivity drought tolerance	Os01g0203000	BZR2, OsBZR2, OsBES1-2, BES1-2	KGE_00000162	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000163	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	internode length plant height	Os01g0204300	SRK1, OsSRK1	KGE_00000163	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000164	NA	TO:0002715 - chloroplast development trait	chloroplast development trait	Os01g0205200	ASL, OsASL	KGE_00000164	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000165	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	cold tolerance brassinosteroid sensitivity plant height relative yield salt tolerance drought tolerance	Os01g0205700	GSK1, OsGSK1, Os GSK1, OsSK21, OsSK21/OsGSK1, SK21	KGE_00000165	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000166	NA	unspecified_trait	unspecified trait	Os01g0206800	NA	KGE_00000166	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000167	data_lt_2007__lsen;data_lt_2007__spkf	LSEN;SPKF	pollen abortion type abscisic acid sensitivity stomatal frequency drought tolerance leaf senescence pollen fertility seed size stomatal conductance transpiration rate inflorescence development trait internode length bacterial leaf streak disease resistance filled grain number lodging incidence stem strength	Os01g0208600	ES1, TUT1, OsSCAR1, SCAR1, TUT1/OsSCAR1, OsSCAR2, SCAR2	KGE_00000167	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000168	NA	TO:0000011 - nitrogen sensitivity	nitrogen sensitivity	Os01g0208700	PPC4, Osppc4, ppc4, PEPC-2	KGE_00000168	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000169	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	growth and development trait gibberellic acid content plant height seedling height stem length jasmonic acid sensitivity relative plant height	Os01g0209700	GA2OX7, GA2ox7, OsGA2ox7	KGE_00000169	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000170	NA	unspecified_trait	unspecified trait	Os01g0210400	TOD1, OsTOD1	KGE_00000170	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000171	NA	TO:0000276 - drought tolerance;TO:0000303 - cold tolerance;TO:0006001 - salt tolerance	drought tolerance cold tolerance salt tolerance	Os01g0210700	KAT2, OsKAT2	KGE_00000171	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000172	NA	unspecified_trait	unspecified trait	Os01g0212500	SPEAR2, OsTIE1, TIE1, OsSPEAR2	KGE_00000172	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000173	NA	TO:0000424 - brown planthopper resistance;TO:0000276 - drought tolerance;TO:0006001 - salt tolerance	brown planthopper resistance drought tolerance salt tolerance	Os01g0213800	PCF5, OsPCF5, OsTCP1, OsTCP1/PCF5	KGE_00000173	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000174	NA	unspecified_trait	unspecified trait	Os01g0214800	GELP3, OsGDSL1, OsGdsl1, OsGELP3, OsGELP3a, OsGELP3b	KGE_00000174	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000175	data_lt_2007__spkf	SPKF	grain core percent white seed anatomy and morphology trait amylose content starch content seed width seed length phosphorus content salt tolerance dietary fiber related trait pollen fertility seed viability oleic acid content linoleic acid content grain size starch grain size starch grain shape floury endosperm embryo shape endosperm related trait seed shape grain length seed development trait bacterial leaf streak disease resistance mineral and ion content related trait protein content sugar content seed fertility total fat content seed dormancy	Os01g0218032	TA2, ROS1A, ROS1, ROS1a, OsROS1, DME1, OsROS1A, mOsROS1, ROS1A/DNG702, DNG702, OsDNG702	KGE_00000175	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000176	NA	TO:0000075 - light sensitivity;TO:0002616 - flowering time;TO:0000615 - abscisic acid sensitivity	light sensitivity flowering time abscisic acid sensitivity	Os01g0218500	FTL, FTL1, OsFTL1, FT-L1	KGE_00000176	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000177	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro	CULT_CODE_REPRO;FLA_REPRO	sodium to potassium content ratio leaf angle cold tolerance grain yield growth and development trait alkali sensitivity salt tolerance shoot potassium content days to heading flowering time hydrogen peroxide content plant height grain size grain weight shoot sodium content	Os01g0218800	SDG721, OsSET1, SET1, OsSDG721	KGE_00000177	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000178	NA	unspecified_trait	unspecified trait	Os01g0219200	ZYGO1, Os_F0777, OsZYGO1	KGE_00000178	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000179	NA	TO:0000432 - temperature response trait	temperature response trait	Os01g0219500	OsLTPL18, OsLTP1.1, LTP1.1, T42, OsLtp1.1	KGE_00000179	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000180	NA	TO:0000163 - auxin sensitivity	auxin sensitivity	Os01g0220100	CEL9A, OsCel9A, Cel9A, OsGH9C3, GH9C3, OsGLU5	KGE_00000180	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000181	NA	TO:0006001 - salt tolerance;TO:0000163 - auxin sensitivity	salt tolerance auxin sensitivity	Os01g0221100	JAR2, OsGH3-3, GH3-3, OsGH3.3, GH3.3, OsJAR2, JAR2/GH3-3, OsGH3.3/OsJAR2	KGE_00000181	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000182	NA	TO:0000163 - auxin sensitivity;TO:0000073 - manganese sensitivity;TO:0000652 - leaf necrosis;TO:0000095 - osmotic response sensitivity;TO:0000075 - light sensitivity;TO:0000615 - abscisic acid sensitivity;TO:0000460 - light intensity sensitivity	auxin sensitivity manganese sensitivity leaf necrosis osmotic response sensitivity light sensitivity abscisic acid sensitivity light intensity sensitivity	Os01g0221600	ALMT4, OsALMT4	KGE_00000182	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000183	NA	TO:0000315 - bacterial disease resistance;TO:0000276 - drought tolerance	bacterial disease resistance drought tolerance	Os01g0222800	SDRLK67, SDRLK-67, OsSDRLK-67, OsSDRLK67	KGE_00000183	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000184	NA	unspecified_trait	unspecified trait	Os01g0223100	HDA707, OsHDA707	KGE_00000184	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000185	data_lt_2007__lsen	LSEN	chlorophyll b content chlorophyll a content leaf senescence panicle number spikelet number	Os01g0223600	SRLK, OsSRLK, OsPRK	KGE_00000185	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000186	NA	TO:0000276 - drought tolerance	drought tolerance	Os01g0223700	SDRLK68, SDRLK-68, OsSDRLK-68, OsSDRLK68	KGE_00000186	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
