trait_id	source_sheet	trait_name	trait_type_guess	n_total_accessions	n_non_missing	missing_rate	n_unique_values	numeric_convertible	mean	std	min	q05	q25	median	q75	q95	max	recommended_for_v0_1	recommendation_priority	recommendation_reason	notes
phenotype_data__llt_code	Phenotype Data	LLT_CODE	categorical	23	22	0.043478	3	true	3	0.690066	2	2	3	3	3	4	4	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf length - cultivated; numeric summary describes encoded category values only
phenotype_data__lpco_rev_post	Phenotype Data	LPCO_REV_POST	categorical	23	23	0	5	true	31.478261	19.623431	20	20	20	20	42	77.4	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma and palea color at post-harvest; numeric summary describes encoded category values only
phenotype_data__lppub	Phenotype Data	LPPUB	categorical	23	9	0.608696	4	true	3.111111	1.054093	1	1.4	3	3	4	4	4	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma and palea pubescence; numeric summary describes encoded category values only
phenotype_data__lsen	Phenotype Data	LSEN	categorical	23	23	0	5	true	6.043478	3.560877	1	1	2	9	9	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf senescence; numeric summary describes encoded category values only
phenotype_data__name	Phenotype Data	NAME	id_or_metadata	23	23	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__noanth	Phenotype Data	NOANTH	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm node of anthocyanin color; numeric summary describes encoded category values only
phenotype_data__noco_rev	Phenotype Data	NOCO_REV	categorical	23	3	0.869565	1	true	60	0	60	60	60	60	60	60	60	false	P2	样本数较少或暂不适合进入 v0.1-mini	Node color; numeric summary describes encoded category values only
phenotype_data__pa_repro	Phenotype Data	PA_REPRO	binary	23	9	0.608696	2	true	2.111111	0.333333	2	2	2	2	2	2.6	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle axis at reproductive; numeric summary describes encoded category values only
phenotype_data__pex_repro	Phenotype Data	PEX_REPRO	categorical	23	23	0	3	true	8.652174	0.982052	5	7	9	9	9	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle exsertion at reproductive; numeric summary describes encoded category values only
phenotype_data__plt_code_post	Phenotype Data	PLT_CODE_POST	categorical	23	22	0.043478	3	true	3.045455	0.485727	2	2.05	3	3	3	4	4	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle length at post-harvest; numeric summary describes encoded category values only
phenotype_data__psh	Phenotype Data	PSH	binary	23	9	0.608696	2	true	1.222222	0.666667	1	1	1	1	1	2.2	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle shattering; numeric summary describes encoded category values only
phenotype_data__pth	Phenotype Data	PTH	categorical	23	23	0	3	true	2.086957	0.792754	1	1	1.5	2	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle threshability; numeric summary describes encoded category values only
phenotype_data__pty	Phenotype Data	PTY	categorical	23	23	0	5	true	5.347826	2.460759	1	1	5	5	6	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle type; numeric summary describes encoded category values only
phenotype_data__scco_rev	Phenotype Data	SCCO_REV	binary	23	23	0	2	true	15.217391	17.286244	10	10	10	10	10	64	70	false	P2	样本数较少或暂不适合进入 v0.1-mini	Seed coat color; numeric summary describes encoded category values only
phenotype_data__sdht_code	Phenotype Data	SDHT_CODE	categorical	23	22	0.043478	3	true	1.681818	0.5679	1	1	1	2	2	2	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Seedling height; numeric summary describes encoded category values only
phenotype_data__second_br_repro	Phenotype Data	SECOND_BR_REPRO	categorical	23	9	0.608696	1	true	1	0	1	1	1	1	1	1	1	false	P2	样本数较少或暂不适合进入 v0.1-mini	Secondary branching at reproductive; numeric summary describes encoded category values only
phenotype_data__seqno	Phenotype Data	Seqno	id_or_metadata	23	23	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__slco_rev	Phenotype Data	SLCO_REV	binary	23	17	0.26087	2	true	34.117647	26.234239	20	20	20	20	20	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Sterile lemma color; numeric summary describes encoded category values only
phenotype_data__sllt_code	Phenotype Data	SLLT_CODE	categorical	23	23	0	3	true	3.26087	1.096167	1	1.2	3	3	3	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Sterile lemma length; numeric summary describes encoded category values only
phenotype_data__source_accno	Phenotype Data	Source_Accno	id_or_metadata	23	23	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__spkf	Phenotype Data	SPKF	categorical	23	23	0	3	true	3.956522	0.366589	3	3.1	4	4	4	4	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Spikelet fertility; numeric summary describes encoded category values only
phenotype_data__stock_id	Phenotype Data	STOCK_ID	id_or_metadata	23	23	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
