major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Resistance or Tolerance	Cold tolerance	Spikelet fertility	2	2,4	Ctb1,qCTB2a	Saito, K., Hayano-Saito, Y., Maruyama-Funatsuki, W., Sato, Y., and Kato, A. (2004). Physical mapping and putative candidate gene identification of a quantitative trait locus Ctb1 for cold tolerance at the booting stage of rice. Theor Appl Genet 109, 515-522.,Andaya, V.C., and Mackill, D.J. (2003). QTLs conferring cold tolerance at the booting stage of rice using recombinant inbred lines from a japonica x indica cross. Theor Appl Genet 106, 1084-1090.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	Basal root thickness	2	4,9	brt9.1,brt4b	Nguyen, T.T., Klueva, N., Chamareck, V., Aarti, A., Magpantay, G., Millena, A.C., Pathan, M.S., and Nguyen, H.T. (2004). Saturation mapping of QTL regions and identification of putative candidate genes for drought tolerance in rice. Mol Genet Genomics 272, 35-46.,Qu, Y., Mu, P., Zhang, H., Chen, C.Y., Gao, Y., Tian, Y., Wen, F., and Li, Z. (2008). Mapping QTLs of root morphological traits at different growth stages in rice. Genetica 133, 187-200.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	Osmotic adjustment	2	1,2	oa1.1,oa2.1	Nguyen, T.T., Klueva, N., Chamareck, V., Aarti, A., Magpantay, G., Millena, A.C., Pathan, M.S., and Nguyen, H.T. (2004). Saturation mapping of QTL regions and identification of putative candidate genes for drought tolerance in rice. Mol Genet Genomics 272, 35-46.,Zhang, J., Zheng, H.G., Aarti, A., Pantuwan, G., Nguyen, T.T., Tripathy, J.N., Sarial, A.K., Robin, S., Babu, R.C., Nguyen, B.D., Sarkarung, S., Blum, A., and Nguyen, H.T. (2001). Locating genomic regions associated with components of drought resistance in rice: comparative mapping within and across species. TAG Theoretical and Applied Genetics 103, 19-29.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	Root pulling force	2	3,4	rpf3.1,rpf4.1	Nguyen, T.T., Klueva, N., Chamareck, V., Aarti, A., Magpantay, G., Millena, A.C., Pathan, M.S., and Nguyen, H.T. (2004). Saturation mapping of QTL regions and identification of putative candidate genes for drought tolerance in rice. Mol Genet Genomics 272, 35-46.,Zhang, J., Zheng, H.G., Aarti, A., Pantuwan, G., Nguyen, T.T., Tripathy, J.N., Sarial, A.K., Robin, S., Babu, R.C., Nguyen, B.D., Sarkarung, S., Blum, A., and Nguyen, H.T. (2001). Locating genomic regions associated with components of drought resistance in rice: comparative mapping within and across species. TAG Theoretical and Applied Genetics 103, 19-29.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	Root thickness	2	12,2	qRTT2-1	Hemamalini, G.S., Shashidhar, H.E., and Hittalmani, S. (2000). Molecular marker assisted tagging of morphological and physiological traits under two contrasting moisture regimes at peak vegetative stage in rice (Oryza sativa L.). Euphytica V112, 69-78.,Champoux, M.C., Wang, G., Sarkarung, S., Mackill, D.J., O'Toole, J.C., Huang, N., and McCouch, S.R. (1995). Locating genes associated with root morphology and drought avoidance in rice via linkage to molecular markers. TAG Theoretical and Applied Genetics 90, 969-981.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	leaf rolling	2	1,9		Price, A.H., Townend, J., Jones, M.P., Audebert, A., and Courtois, B. (2002). Mapping QTLs associated with drought avoidance in upland rice grown in the Philippines and West Africa. Plant Mol Biol 48, 683-695.,Courtois, B., McLaren, G., Sinha, P.K., Prasad, K., Yadav, R., and Shen, L. (2000). Mapping QTLs associated with drought avoidance in upland rice Molecular Breeding 6, 55-66.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	relative water content	2	1,9		Price, A.H., Townend, J., Jones, M.P., Audebert, A., and Courtois, B. (2002). Mapping QTLs associated with drought avoidance in upland rice grown in the Philippines and West Africa. Plant Mol Biol 48, 683-695.,Courtois, B., McLaren, G., Sinha, P.K., Prasad, K., Yadav, R., and Shen, L. (2000). Mapping QTLs associated with drought avoidance in upland rice Molecular Breeding 6, 55-66.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	root fresh weight	2	1,4	rfw1b,rfw4a	Li, Z., Mu, P., Li, C., Zhang, H., Li, Z., Gao, Y., and Wang, X. (2005). QTL mapping of root traits in a doubled haploid population from a cross between upland and lowland japonica rice in three environments. Theor Appl Genet 110, 1244-1252.,Qu, Y., Mu, P., Zhang, H., Chen, C.Y., Gao, Y., Tian, Y., Wen, F., and Li, Z. (2008). Mapping QTLs of root morphological traits at different growth stages in rice. Genetica 133, 187-200.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	root number	2	3,7	rn7a,rn3	Li, Z., Mu, P., Li, C., Zhang, H., Li, Z., Gao, Y., and Wang, X. (2005). QTL mapping of root traits in a doubled haploid population from a cross between upland and lowland japonica rice in three environments. Theor Appl Genet 110, 1244-1252.,Qu, Y., Mu, P., Zhang, H., Chen, C.Y., Gao, Y., Tian, Y., Wen, F., and Li, Z. (2008). Mapping QTLs of root morphological traits at different growth stages in rice. Genetica 133, 187-200.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance		2	10,5	Grh1,Qbph10	Tamura, K., Fukuta, Y., Hirae, M., Oya, S., Ashikawa, I., and Yagi, T. (1999). Mapping of the Grh1 locus for Green Rice Leahopper Resistance in Rice Using RFLP Markers. Breeding Science 49, 11-14.,Sun, L., Su, C., Wang, C., Zhai, H., and Wan, J. (2005). Mapping of a Major Resistance Gene to the Brown Planthopper in the Rice Cultivar Rathu Heenati. Breeding Science 55, 391-396.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	brown planthopper	2	1,3	bph19(t),QBphr1	Chen, J.W., Wang, L., Pang, X.F., and Pan, Q.H. (2006). Genetic analysis and fine mapping of a rice brown planthopper (Nilaparvata lugens Stal) resistance gene bph19(t). Mol Genet Genomics 275, 321-329.,Xu, X.F., Mei, H.W., Luo, L.J., Cheng, X.N., and Li, Z.K. (2002). RFLP-facilitated investigation of the quantitative resistance of rice to brown planthopper ( Nilaparvata lugens). Theor Appl Genet 104, 248-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	nymph mortality	2	12,8	Grh5	Fujita, D., Doi, K., Yoshimura, A., and Yasui, H. (2003). Mapping of a new resistance gene for green rice leafhopper introgressed from Oryza rufipogon Griff. into cultivated rice, Oryza sativa L. Rice Genetics Newsletter 20, 79-80.,Sonoda, T., Yoshimura, A., and Yasui, H. (2003). Detection of QTLs for antibiosis to brown planthopper, Nilaparvata lugens Stal, in rice, Oryza sativa L. Rice Genetics Newsletter 20, 85-88.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	ovicidal response to whitebacked planthopper	2	4,6	Ovc,qOVA-4	Yamasaki, M., Yoshimura, A., and Yasui, H. (2003). Genetic basis of ovicidal response to whitebacked planthopper (Sogatella furcifera Horv?th) in rice (Oryza sativa L.) Molecular Breeding 12, 133-143.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Insect resistance	whitebacked planthopper	2	5,6	Ovc,qOVA-5-2	Yamasaki, M., Yoshimura, A., and Yasui, H. (1999). Identification of a gene ovicidal to whitebacked planthopper, Sogatelia furcifera Horvoh in rice, Oryza sativa L. Rice Genetics Newsletter 16, 94-96.,Yamasaki, M., Yoshimura, A., and Yasui, H. (2000). Mapping of QTLs affecting egg mortality of whitebacked planthopper, Sogatella furcifera Horvath in rice, Oryza sativa L. Rice Genetics Newsletter 17, 87-89.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other disease resistance	rice stripe virus resistance	2	1,7	Qstv1	Wang, C.M., Su, C.C., Ding, X.L., Zhai, H.Q., and Wan, J.M. (2004). QTLs linked to a gene cluster conferring resistance to sucking insect pests in rice (Oryza sativa L.). Rice Genetics Newsletter 21, 56-59.,Ding, X.L., Sun, D.Z., Zhang, Y.X., Cheng, X.N., and Wan, J.M. (2004). QTL analysis for resistance to rice stripe disease using backcross inbred lines. Rice Genetics Newsletter 21, 60-62.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Leaf bronzing index	2	1,9		Wan, J.-l., Zhai, H.-q., Wan, J.-m., and Ikehashi, H. (2003). Detection and analysis of QTLs for ferrous iron toxicity tolerance in rice, Oryza sativa L. Euphytica V131, 201-206.,Wan, J.L., Zhai, H.Q., Wan, J.M., Yasui, H., and Yoshimura, A. (2003). Mapping QTL for traits associated with resistance to ferrous iron toxicity in rice (Oryza sativa L.), using japonica chromosome segment substitution lines. Yi Chuan Xue Bao 30, 893-898.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	Root dry weight	2	1,7		Wan, J.-l., Zhai, H.-q., Wan, J.-m., and Ikehashi, H. (2003). Detection and analysis of QTLs for ferrous iron toxicity tolerance in rice, Oryza sativa L. Euphytica V131, 201-206.,Wan, J.L., Zhai, H.Q., Wan, J.M., Yasui, H., and Yoshimura, A. (2003). Mapping QTL for traits associated with resistance to ferrous iron toxicity in rice (Oryza sativa L.), using japonica chromosome segment substitution lines. Yi Chuan Xue Bao 30, 893-898.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	relative root elongation	2	10,11	qRRE-10,qRRE-11	Xue, Y., Wan, J., Jiang, L., Wang, C., Liu, L., Zhang, Y.-m., and Zhai, H. (2006). Identification of Quantitative Trait Loci Associated with Aluminum Tolerance in Rice (Oryza Sativa L.). Euphytica V150, 37-45.,Xue, Y., Jiang, L., Su, N., Wang, J.K., Deng, P., Ma, J.F., Zhai, H.Q., and Wan, J.M. (2007). The genetic basic and fine-mapping of a stable quantitative-trait loci for aluminium tolerance in rice. Planta 227, 255-262.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Sheath blight resistance	sheath blight resistance	2	3,9	ｑSＢ-9,qSB-3	Tan, C.X., Ji, X.M., Yang, Y., Pan, X.Y., Zuo, S.M., Zhang, Y.F., Zou, J.H., Chen, Z.X., Zhu, L.H., and Pan, X.B. (2005). Identification and marker-assisted selection of two major quantitative genes controlling rice sheath blight resistance in backcross generations. Yi Chuan Xue Bao 32, 399-405.,Sato, H., Ideta, O., Ando, I., Kunihiro, Y., Hirabayashi, H., Iwano, M., Miyasaka, A., Nemoto, H., and Imbe, T. (2004). Mapping QTLs for Sheath Blight Resistance in the Rice Line WSS2. Breeding Science 54, 265-271.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	-2 leaf height	1	1		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Area of -2nd leaf (cm2)	1	6	qSL6-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Area of -2nd leaf/Total spikelets per panicle	1	4	qSLTS4-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Area of -3rd leaf (cm2)	1	6	qTL6-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Area of -3rd leaf/Total spikelets per panicle	1	8	qTLTS1-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Area of flag leaf (cm2)	1	1	qFL1-1	Cui, K.H., Peng, S.B., Xing, Y.Z., Yu, S.B., Xu, C.G., and Zhang, Q. (2003). Molecular dissection of the genetic relationships of source, sink and transport tissue with yield traits in rice. Theor Appl Genet 106, 649-658.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Chlorophyll contents	1	1	qChll1a	Yang, Q.H., Lu, W., Hu, M.L., Wang, C.M., Zhang, R.X., Yano, M., and Wan, J.M. (2003). QTL and epistatic interaction underlying leaf chlorophyll and H2O2 content variation in rice (Oryza sativa L.). Yi Chuan Xue Bao 30, 245-250.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Leaf area	1	7		Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Number of panicles	1	1	qNOP-1	Hittalmani, S., Shashidhar, H.E., Bagali, P.G., Huang, N., Sidhu, J.S., Singh, V.P., and Khush, G.S. (2002). Molecular mapping of quantitative trait loci for plant growth, yield and yield related traits across three diverse locations in a doubled haploid rice population. Euphytica V125, 207-214.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Number of panicles per plant	1	2	np2.2	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Number of tillers per plant	1	5	nt5.1	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Panicles/plant	1	1	ppl1.1	Septiningsih, E.M., Prasetiyono, J., Lubis, E., Tai, T.H., Tjubaryat, T., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for yield and yield components in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1419-1432.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Phyllochron	1	10	Phyllochron	Miyamoto, N., Goto, Y., Matsui, M., Ukai, Y., Morita, M., and Nemoto, K. (2004). Quantitative trait loci for phyllochron and tillering in rice. Theor Appl Genet 109, 700-706.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Plant age in leaf number F-C	1	4		Ikeda, H., Kamoshita, A., and Manabe, T. (2006). Genetic analysis of rooting ability of transplanted rice (Oryza sativa L.) under different water conditions. J. Exp. Bot., erl162.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Plant age in leaf number F-RP	1	4		Ikeda, H., Kamoshita, A., and Manabe, T. (2006). Genetic analysis of rooting ability of transplanted rice (Oryza sativa L.) under different water conditions. J. Exp. Bot., erl162.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Plant age in leaf number NF-C	1	4		Ikeda, H., Kamoshita, A., and Manabe, T. (2006). Genetic analysis of rooting ability of transplanted rice (Oryza sativa L.) under different water conditions. J. Exp. Bot., erl162.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Plant age in leaf number NF-RP	1	4		Ikeda, H., Kamoshita, A., and Manabe, T. (2006). Genetic analysis of rooting ability of transplanted rice (Oryza sativa L.) under different water conditions. J. Exp. Bot., erl162.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Tillers/plant	1	7	tp7b	Li, J.X., Yu, S.B., Xu, C.G., Tan, Y.F., Gao, Y.J., Li, X.H., and Zhang, Q. (2000). Analyzing quantitative trait loci for yield using a vegetatively replicated F2 population from a cross between the parents of an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 248-254.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Tillers/plant(1998)	1	5	tp5b	Hua, J.P., Xing, Y.Z., Xu, C.G., Sun, X.L., Yu, S.B., and Zhang, Q. (2002). Genetic Dissection of an Elite Rice Hybrid Revealed That Heterozygotes Are Not Always Advantageous for Performance. Genetics 162, 1885-1895.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Tillers/plant(1999)	1	2	tp2b	Hua, J.P., Xing, Y.Z., Xu, C.G., Sun, X.L., Yu, S.B., and Zhang, Q. (2002). Genetic Dissection of an Elite Rice Hybrid Revealed That Heterozygotes Are Not Always Advantageous for Performance. Genetics 162, 1885-1895.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	brittle culm	1	1	bc7(t)	Yan, C., Yan, S., Zeng, X., Zhang, Z., and Gu, M. (2007). Fine mapping and isolation of Bc7(t), allelic to OsCesA4. J Genet Genomics 34, 1019-1027.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	excessive tiller number	1	6	ext-MlB (t)	Jiang, Z.X., Wang, S.Q., Deng, Q.M., He, T.H., and Li, P. (2006). Genetic analysis and molecular tagging on a novel excessive tillering mutant in rice. Yi Chuan Xue Bao 33, 339-344.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	first leaf length	1	1	qFLL-1	Shen, B., Zhuang, J.Y., Zhang, K.Q., Xia, Q.Q., Sheng, C.X., and Zheng, K.L. (2003). QTLs mapping of leaf traits and root vitality in a recombinant inbred line population of rice. Yi Chuan Xue Bao 30, 1133-1139.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	first leaf perimeter	1	1	qFLP-1	Shen, B., Zhuang, J.Y., Zhang, K.Q., Xia, Q.Q., Sheng, C.X., and Zheng, K.L. (2003). QTLs mapping of leaf traits and root vitality in a recombinant inbred line population of rice. Yi Chuan Xue Bao 30, 1133-1139.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	flag-leafwidth	1	3	QFlw3	Mei, H.W., Li, Z.K., Shu, Q.Y., Guo, L.B., Wang, Y.P., Yu, X.Q., Ying, C.S., and Luo, L.J. (2005). Gene actions of QTLs affecting several agronomic traits resolved in a recombinant inbred rice population and two backcross populations. Theor Appl Genet 110, 649-659.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	leaf angle	1	9	Ta	Li, Z., Paterson, A., Pinson, S., and Stansel, J. (1999). RFLP facilitated analysis of tiller and leaf angles in rice (Oryza sativa L.). Euphytica 109, 79-84.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	leaf angle length at vegetative stage	1	7	qLA	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	leaf emergence rate	1	2	qLER-2	Dong, Y., Kamiunten, H., Ogawa, T., Tsuzuki, E., Terao, H., Lin, D., and Matsuo, M. (2004). Mapping of QTLs for leaf developmental behavior in rice (Oryza sativa L.). Euphytica V138, 169-175.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	leaf rolling	1	7	QRl7	Xu, J.L., Zhong, D.B., Yu, S.B., Luo, L.J., and Li, Z.K. (1999). QTLs affecting leaf rolling and folding in rice. Rice Genetics Newsletter 16, 51-53.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	leaf sheath length at vegetative stage	1	7	qLSL	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	no. of vascular bundles in peduncle	1	1	qVB-1	Zhang, Z.H., Li, P., Wang, L.X., Hu, Z.L., Zhu, Y.G., and Zhu, L.H. (2002). Molecular mapping of quantitative trait loci (QTL) for characters of vascular bundles in peduncle related to indica-japonica differentiation in rice (Oryza sativa L.). Yi Chuan Xue Bao 29, 995-1000.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	number of panicle	1	6		Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2001). Comparison of the detection of QTL for yield traits in different generations of a rice cross using two mapping approaches. Yi Chuan Xue Bao 28, 458-464.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	number of panicles per plant	1	6	qNP-6	Zhuang, J.Y., Fan, Y.Y., Rao, Z.M., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2002). Analysis on additive effects and additive-by-additive epistatic effects of QTLs for yield traits in a recombinant inbred line population of rice. Theor Appl Genet 105, 1137-1145.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	number of vascular bundle	1	1	qNVB-1-1	Sasahara, H., Fukuta, Y., and Fukuyama, T. (1999). Mapping of QTLs for Vascular Bundle System and Spike Morphology in Rice, Oryza sativa L. Breeding Science 49, 75-81.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	number of vascular bundles	1	1	qVB-1	Zhang, Z.-H., Li, P., Wang, L.-X., Tan, C.-J., Hu, Z.-L., Zhu, Y.-G., and Zhu, L.-H. (2002). Identification of quantitative trait loci (QTLs) for the characters of vascular bundles in peduncle related to indica-japonica differentiation in rice (Oryza sativa L.). Euphytica V128, 279-284.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	panicle number at maturity stage	1	7	qPN-1	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	rolled leaf trait	1	9	RL10(t)	Luo, Z., Yang, Z., Zhong, B., Li, Y., Xie, R., Zhao, F., Ling, Y., and He, G. (2007). Genetic analysis and fine mapping of a dynamic rolled leaf gene, RL10(t), in rice (Oryza sativa L.). Genome 50, 811-817.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	second leaf length	1	6	qSLL-6	Shen, B., Zhuang, J.Y., Zhang, K.Q., Xia, Q.Q., Sheng, C.X., and Zheng, K.L. (2003). QTLs mapping of leaf traits and root vitality in a recombinant inbred line population of rice. Yi Chuan Xue Bao 30, 1133-1139.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	second leaf length/width ratio	1	6	qTLWR-6	Shen, B., Zhuang, J.Y., Zhang, K.Q., Xia, Q.Q., Sheng, C.X., and Zheng, K.L. (2003). QTLs mapping of leaf traits and root vitality in a recombinant inbred line population of rice. Yi Chuan Xue Bao 30, 1133-1139.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	spikelet number per panicle	1	3	QSn3	Mei, H.W., Luo, L.J., Ying, C.S., Wang, Y.P., Yu, X.Q., Guo, L.B., Paterson, A.H., and Li, Z.K. (2003). Gene actions of QTLs affecting several agronomic traits resolved in a recombinant inbred rice population and two testcross populations. Theor Appl Genet 107, 89-101.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	spread stub	1	9	Spk(t)	Yamamoto, T., Sasaki, T., and Yano, M. (1997). Genetic Analysis of Spreading Stub Using indica/japonica Backcrossed Progenies in Rice. Breeding Science 47, 141-144.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	the effective tiller percentage per plant(TPP)	1	6		Jiang, G.H., Xu, C.G., Li, X.H., and He, Y.Q. (2004). Characterization of the genetic basis for yield and its component traits of rice revealed by doubled haploid population. Yi Chuan Xue Bao 31, 63-72.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	third leaf length	1	6	qTLL-6	Shen, B., Zhuang, J.Y., Zhang, K.Q., Xia, Q.Q., Sheng, C.X., and Zheng, K.L. (2003). QTLs mapping of leaf traits and root vitality in a recombinant inbred line population of rice. Yi Chuan Xue Bao 30, 1133-1139.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tiller angle at vegetative stage	1	7	qTA	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tiller number at maturity	1	6	qTN2-6-1	Cui, K., Peng, S., Ying, Y., Yu, S., and Xu, C. (2004). Molecular Dissection of the Relationships among Tiller Number, Plant Height and Heading Date in Rice. Plant Production Science 7, 309-318.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tiller number at vegetative stage	1	7	qTN	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tiller numbers	1	1	tn1-4	Yan, J.Q., Zhu, J., He, C.X., Benmoussa, M., and Wu, P. (1998). Quantitative trait loci analysis for the developmental behavior of tiller number in rice (Oryza sativa L.). TAG Theoretical and Applied Genetics 97, 267-274.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	"tiller, leaf and flag leaf angles"""""	1	9	Ta1	Li, Z., Paterson, r.H., Pinson, S.R.M., and Khush, G.S. (1998). A major gene, Tal and QTLs affecting tiller and leaf angles in rice. Rice Genetics Newsletter 15, 154-156.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
